Geography,Concept,Unit,Frequency,Period,Value
Mexico,"Index: Labor Productivity: GDP-to-Employed Labor Force, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2017,0.877104492
Mexico,"Index: Labor Productivity: GDP-to-Employed Labor Force, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2018,-0.439214393
Mexico,"Index: Labor Productivity: GDP-to-Employed Labor Force, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2019,-2.496296466
Mexico,"Index: Labor Productivity: GDP-to-Employed Labor Force, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2020,-1.326178097
Mexico,"Index: Labor Productivity: GDP-to-Employed Labor Force, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2021,-2.609037072
Mexico,"Index: Labor Productivity: GDP-to-Employed Labor Force, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2022,-0.904197569
Mexico,"Index: Labor Productivity: GDP-to-Employed Labor Force, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2023,0.835338949
Mexico,"Index: Labor Productivity: GDP-to-Employed Labor Force, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2024,1.285746456
Mexico,"Growth Rate, Real Retail Sales Index, LCU, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2017,-0.061219757
Mexico,"Growth Rate, Real Retail Sales Index, LCU, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2018,1.265432882
Mexico,"Growth Rate, Real Retail Sales Index, LCU, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2019,2.21695532
Mexico,"Growth Rate, Real Retail Sales Index, LCU, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2020,-8.741881082
Mexico,"Growth Rate, Real Retail Sales Index, LCU, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2021,13.08424731
Mexico,"Growth Rate, Real Retail Sales Index, LCU, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2022,7.361932709
Mexico,"Growth Rate, Real Retail Sales Index, LCU, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2023,3.107288785
Mexico,"Growth Rate, Real Retail Sales Index, LCU, Year-on-Year Percent Change",Percent change year ago,Annual,1/1/2024,1.780759901
Mexico,"Money Supply M1, Period End, lcu",Mexican Peso,Annual,1/1/2017,4264.017582
Mexico,"Money Supply M1, Period End, lcu",Mexican Peso,Annual,1/1/2018,4492.21632
Mexico,"Money Supply M1, Period End, lcu",Mexican Peso,Annual,1/1/2019,4702.035012
Mexico,"Money Supply M1, Period End, lcu",Mexican Peso,Annual,1/1/2020,5645.704961
Mexico,"Money Supply M1, Period End, lcu",Mexican Peso,Annual,1/1/2021,6377.133889
Mexico,"Money Supply M1, Period End, lcu",Mexican Peso,Annual,1/1/2022,6926.065215
